model,seed,fold,spearman,kendall,mae,rmse,r2,best
Track A composite,2,1,0.8679494151329873,0.687263809919137,1.0986840751005,1.3789753934856703,0.6654089801356118,{}
Track A composite,2,2,0.8562315315015443,0.6709430501499744,1.140648359062404,1.501843767562368,0.6526830009150325,{}
Track A composite,2,3,0.6976918869322205,0.5125250361513208,1.5830990689123887,1.978974445137805,0.3957212573189717,{}
Track A composite,2,4,0.7939576045213084,0.6358393305636686,1.2777884086488853,1.6415823443471123,0.5714194117399162,{}
Track A composite,3,0,0.7511728411483803,0.556198848755694,1.3166184920024513,1.6870514839746225,0.45129260719621744,{}
Track A composite,3,1,0.8149746812659046,0.6204250437621252,1.2278674631754718,1.5142465010116597,0.5878360692148122,{}
Track A composite,3,2,0.8199907050191295,0.6306353311992081,1.2298420658876181,1.5883880442194311,0.5892287254361894,{}
Track A composite,3,3,0.8014078780082805,0.6280613094392113,1.3581262232384181,1.7023556946827487,0.5705995233137222,{}
Track A composite,3,4,0.7727702937117698,0.6142063311700859,1.440745610235704,1.7996072793970732,0.5106636809724461,{}
Track A composite,4,0,0.7476074442006364,0.5690440877569802,1.3840941966871536,1.7378698740398908,0.48974897666909833,{}
Track A composite,4,1,0.8674890951895232,0.6786402935551366,1.1364426944591863,1.4898802388382641,0.6293544566065528,{}
Track A composite,4,2,0.7746482288119197,0.6013028368177732,1.4355277381833123,1.7641282470196102,0.5197164056733186,{}
Track A composite,4,3,0.7831817024644775,0.5890245250136349,1.3210629614472478,1.721249699229237,0.5378887755777052,{}
Track A composite,4,4,0.7920810798119695,0.5921655179592955,1.2754771379922474,1.5500271504661212,0.5637851983590272,{}
B5-content-only,0,0,0.7198312039912501,0.5496888594085223,1.4045148893727577,1.7083486506485384,0.5247745852229404,"{""m__alpha"": 100}"
B5-content-only,0,1,0.77273156857388,0.564633143963583,1.2996979915053466,1.5798554607199156,0.5393217468704983,"{""m__alpha"": 100}"
B5-content-only,0,2,0.7004039680084925,0.5184410592818819,1.448216146019112,1.7663936596654355,0.4991989296054936,"{""m__alpha"": 100}"
B5-content-only,0,3,0.7656799813123035,0.5818893267582665,1.396925745075643,1.7523253146922952,0.5253432628797807,"{""m__alpha"": 100}"
B5-content-only,0,4,0.720101842671361,0.5339555049461775,1.4610130076925734,1.82048584741037,0.455527249913215,"{""m__alpha"": 100}"
B5-content-only,1,0,0.7921439583134663,0.6433347485269293,1.1949573504765247,1.4998256782734183,0.6149371098107304,"{""m__alpha"": 100}"
B5-content-only,1,1,0.6234460820757575,0.43288455434334616,1.6197651500678223,1.9406368696489573,0.3765452389866688,"{""m__alpha"": 100}"
B5-content-only,1,2,0.7701403315019878,0.555060371301446,1.5431481026773053,1.8401450459819364,0.4877437063539444,"{""m__alpha"": 100}"
B5-content-only,1,3,0.6749971926781541,0.5094281975079227,1.4126218548892353,1.8250438083473544,0.4693504522090842,"{""m__alpha"": 100}"
B5-content-only,1,4,0.7724010363119467,0.5729151492426852,1.302718547870088,1.6099858650540984,0.5355207846224561,"{""m__alpha"": 100}"
B5-content-only,2,0,0.6494533356803041,0.45797479388027973,1.5089462959536855,1.7892492192627651,0.40680706686770896,"{""m__alpha"": 100}"
B5-content-only,2,1,0.6589405882547774,0.4813420691193956,1.4062750728682596,1.7271498099830735,0.47511850026050995,"{""m__alpha"": 100}"
B5-content-only,2,2,0.7762763309675355,0.5756658607233094,1.275989480574129,1.6861792269231173,0.5621916946461503,"{""m__alpha"": 100}"
B5-content-only,2,3,0.755571945858738,0.5592249655308063,1.5295272670076003,1.8322667425306267,0.4819945342278249,"{""m__alpha"": 100}"
B5-content-only,2,4,0.7846381578029935,0.6244564379879025,1.2933552277705058,1.5977504366566317,0.5940009275128684,"{""m__alpha"": 100}"
B5-content-only,3,0,0.6602440930404276,0.48899671404554224,1.412570142913123,1.7426214605301997,0.4145494001405259,"{""m__alpha"": 100}"
B5-content-only,3,1,0.6585619581680869,0.4816131767739327,1.398866767308867,1.7603775577926855,0.4429573192226558,"{""m__alpha"": 100}"
B5-content-only,3,2,0.8448433012073695,0.6477281064843461,1.225466562022034,1.4531145463279775,0.6562152980307145,"{""m__alpha"": 100}"
B5-content-only,3,3,0.6658219779660155,0.5196734815761946,1.5085769117459686,1.909528232113769,0.45972599277854165,"{""m__alpha"": 100}"
B5-content-only,3,4,0.7693896159357619,0.5817289177592695,1.4765633616123888,1.8035835135611054,0.5084989138676959,"{""m__alpha"": 100}"
B5-content-only,4,0,0.6729896693362919,0.49710743447175365,1.5121539576816088,1.9087503395572618,0.38447226087700204,"{""m__alpha"": 100}"
B5-content-only,4,1,0.7081907411202388,0.5213011718334343,1.4652674236759295,1.7873759345496407,0.4665571784384459,"{""m__alpha"": 100}"
B5-content-only,4,2,0.7730130736990435,0.5800673073521091,1.4867104233176707,1.7604619016525136,0.5217106549359443,"{""m__alpha"": 100}"
B5-content-only,4,3,0.7260867051412844,0.5496888594085223,1.4659144176327559,1.8196423594146316,0.4835469589057285,"{""m__alpha"": 100}"
B5-content-only,4,4,0.8417448538924281,0.6390947688611813,1.14083090108176,1.3794509785439852,0.6545109157376994,"{""m__alpha"": 100}"
B9-technical-only,0,0,0.22213883677298316,0.1717948717948718,2.0640163049725784,2.4082804477878303,0.05558960212762798,"{""m__alpha"": 100}"
B9-technical-only,0,1,0.10544090056285181,0.05641025641025641,1.9436806293337656,2.315988270265545,0.009998822668767726,"{""m__alpha"": 100}"
B9-technical-only,0,2,0.2771106941838649,0.18461538461538463,1.9341356140240922,2.3618355310536843,0.1046567627677576,"{""m__alpha"": 100}"
B9-technical-only,0,3,0.16848030018761728,0.12820512820512822,2.0455335108674055,2.466459442789481,0.059631362063388704,"{""m__alpha"": 10}"
B9-technical-only,0,4,0.4135084427767355,0.30512820512820515,1.8622624543837447,2.3043737976095238,0.12761660309891976,"{""m__alpha"": 100}"
B9-technical-only,1,0,0.3191369606003753,0.2230769230769231,1.8928051314927905,2.244857853845775,0.13736358114921676,"{""m__alpha"": 1}"
B9-technical-only,1,1,0.19681050656660415,0.13333333333333333,2.1007238123094694,2.4278728543182333,0.02418325089347606,"{""m__alpha"": 100}"
B9-technical-only,1,2,0.3120075046904316,0.2205128205128205,2.074917337890806,2.5147470712390323,0.04330872914852302,"{""m__alpha"": 100}"
B9-technical-only,1,3,0.1782363977485929,0.11794871794871795,2.053450133350604,2.4803051119419757,0.01989765623614448,"{""m__alpha"": 100}"
B9-technical-only,1,4,0.3196998123827393,0.2230769230769231,1.7939521417661908,2.185086116798795,0.1444226595577418,"{""m__alpha"": 100}"
B9-technical-only,2,0,0.33902439024390246,0.2358974358974359,1.9033569123095464,2.206073309064477,0.09823333676453261,"{""m__alpha"": 100}"
B9-technical-only,2,1,-0.16791744840525333,-0.09230769230769231,2.0852379194477257,2.4883953079989016,-0.08953201191274052,"{""m__alpha"": 100}"
B9-technical-only,2,2,0.33583489681050666,0.21282051282051284,1.9645025190636773,2.4250174050709172,0.09446290295982895,"{""m__alpha"": 100}"
B9-technical-only,2,3,-0.08499061913696061,-0.05384615384615385,2.156422037292432,2.5869143948079407,-0.03257370079735189,"{""m__alpha"": 100}"
B9-technical-only,2,4,0.47560975609756106,0.30512820512820515,1.9296293645338491,2.317968608889877,0.14547996016413267,"{""m__alpha"": 100}"
B9-technical-only,3,0,0.3827392120075047,0.2743589743589744,1.816266892551863,2.1957410226803047,0.07050647077328598,"{""m__alpha"": 100}"
B9-technical-only,3,1,0.21726078799249532,0.13589743589743591,1.904305647707509,2.303341118812861,0.04634048376215949,"{""m__alpha"": 100}"
B9-technical-only,3,2,0.06904315196998126,0.05641025641025641,2.121489497904689,2.488390092348856,-0.008146794623563824,"{""m__alpha"": 100}"
B9-technical-only,3,3,0.49681050656660425,0.33076923076923076,2.045667582541429,2.471053224491742,0.09525517809468409,"{""m__alpha"": 100}"
