uni_id,member,region,country,name,url,final_url,http_status,page_lang,native_lang,switched_to_english,fetched_at,load_time_s,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a18_recent_notice_date,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a73_accessible_design,a74_a11y_toggle,a75_bookmark,notice_date_future,a18_missing,country_is_bucket,country_rank_eligible
3005,M3,Eastern & Southern Europe,Italy,Polytechnic University of Milan,https://www.polimi.it,https://www.polimi.it/en/,200,en-us,it-it,True,2026-08-11T10:26:29+00:00,13.977,1,1,8,0,1,0,0,1,0,0,1,1,10,1,1,2026-10-16,1,1,1,1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,13.93,1,1,0,0,1,0,100,1,0,1,1,1,0,8.3,1,1,0,1,0,0,1
3006,M3,Eastern & Southern Europe,Italy,University of Naples Federico II,https://www.unina.it,https://www.unina.it/it/,200,it-it,it-it,True,2026-08-11T10:26:58+00:00,15.087,1,1,1,0,1,1,0,0,0,0,0,1,3,0,1,2026-11-09,1,1,0,0,20,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,21.0,1,1,0,0,0,0,100,1,0,1,1,1,0,100.0,1,0,0,1,0,0,1
3008,M3,Eastern & Southern Europe,Italy,University of Pisa,https://www.unipi.it,https://www.unipi.it/en/,200,en-us,it-it,True,2026-08-11T10:27:30+00:00,13.555,1,1,5,1,0,1,0,1,0,0,1,0,0,1,0,,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,15.43,1,0,0,0,1,0,90,1,1,1,0,1,0,40.0,1,0,0,0,1,0,1
3010,M3,Eastern & Southern Europe,Italy,Polytechnic University of Turin,https://www.polito.it,https://www.polito.it/en,200,en,it,True,2026-08-11T10:28:05+00:00,11.03,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,2027-09-30,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,14.95,1,1,0,0,0,0,90,1,0,1,1,1,0,100.0,1,0,0,1,0,0,1
3013,M3,Eastern & Southern Europe,Italy,University of Genoa,https://www.unige.it,https://unige.it/en,200,en,it,True,2026-08-11T10:28:26+00:00,4.718,1,1,7,1,1,0,0,1,0,0,1,1,10,1,1,2026-10-02,1,0,1,1,5,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,12.63,1,1,0,0,0,0,90,1,0,1,0,1,0,70.0,1,0,0,1,0,0,1
3017,M3,Eastern & Southern Europe,Italy,University of Catania,https://www.unict.it,https://www.unict.it/en,200,en,it,True,2026-08-11T10:29:12+00:00,7.007,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,2025-10-31,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,17.57,1,1,0,0,0,0,75,1,0,1,1,1,0,85.7,1,0,0,0,0,0,1
3018,M3,Eastern & Southern Europe,Italy,University of Palermo,https://www.unipa.it,https://www.unipa.it/mobilita/en/,200,en,it,True,2026-08-11T10:29:36+00:00,11.668,1,1,3,0,0,1,0,1,1,1,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,12.63,1,1,1,0,0,0,75,1,0,1,1,1,0,100.0,1,0,0,0,1,0,1
3019,M3,Eastern & Southern Europe,Italy,University of Perugia,https://www.unipg.it,https://www.unipg.it/en/,200,en,it,True,2026-08-11T10:29:52+00:00,10.474,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,15.43,1,1,0,0,0,0,100,1,0,1,0,1,0,100.0,1,0,0,0,1,0,1
3020,M3,Eastern & Southern Europe,Italy,Vita-Salute San Raffaele University,https://www.unisr.it,https://www.unisr.it/en/,200,en,it,True,2026-08-11T10:30:06+00:00,9.807,1,1,6,1,0,0,0,1,1,1,1,0,0,0,1,2026-07-14,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,12.63,1,1,1,0,0,0,100,1,0,1,1,1,1,53.1,1,1,0,0,0,0,1
3021,M3,Eastern & Southern Europe,Italy,Bocconi University,https://www.unibocconi.it,https://www.unibocconi.it/en,200,en,it,True,2026-08-11T10:30:26+00:00,9.698,1,1,2,1,1,0,0,1,0,0,0,0,1,1,0,,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,19.32,1,0,0,0,1,0,100,1,0,1,1,1,1,75.0,1,1,0,0,1,0,1
